model,method,split,stage,position_consistency,accuracy,position_bias_rate
swiss-ai/Apertus-70B-Instruct-2509,gepa,train,baseline,0.1541,0.4261,0.8459
swiss-ai/Apertus-70B-Instruct-2509,gepa,train,optimised,0.2957,0.4336,0.7043
swiss-ai/Apertus-70B-Instruct-2509,gepa,val,baseline,0.1515,0.447,0.8485
swiss-ai/Apertus-70B-Instruct-2509,gepa,val,optimised,0.298,0.4646,0.702
swiss-ai/Apertus-70B-Instruct-2509,opro,train,baseline,0.1541,0.4261,0.8459
swiss-ai/Apertus-70B-Instruct-2509,opro,train,optimised,0.6775,0.479,0.3225
swiss-ai/Apertus-70B-Instruct-2509,opro,val,baseline,0.1515,0.447,0.8485
swiss-ai/Apertus-70B-Instruct-2509,opro,val,optimised,0.6515,0.5429,0.3485
swiss-ai/Apertus-70B-Instruct-2509,opro_tree,train,baseline,0.1541,0.4261,0.8459
swiss-ai/Apertus-70B-Instruct-2509,opro_tree,train,optimised,0.6128,0.4574,0.3872
swiss-ai/Apertus-70B-Instruct-2509,opro_tree,val,baseline,0.1515,0.447,0.8485
swiss-ai/Apertus-70B-Instruct-2509,opro_tree,val,optimised,0.5859,0.5051,0.4141
meta-llama/Llama-3.3-70B-Instruct,gepa,train,baseline,0.6266,0.5257,0.3734
meta-llama/Llama-3.3-70B-Instruct,gepa,train,optimised,0.5714,0.5188,0.4286
meta-llama/Llama-3.3-70B-Instruct,gepa,val,baseline,0.7071,0.6111,0.2929
meta-llama/Llama-3.3-70B-Instruct,gepa,val,optimised,0.6818,0.601,0.3182
meta-llama/Llama-3.3-70B-Instruct,opro,train,baseline,0.6266,0.5257,0.3734
meta-llama/Llama-3.3-70B-Instruct,opro,train,optimised,0.7343,0.5292,0.2657
meta-llama/Llama-3.3-70B-Instruct,opro,val,baseline,0.7071,0.6111,0.2929
meta-llama/Llama-3.3-70B-Instruct,opro,val,optimised,0.803,0.601,0.197
meta-llama/Llama-3.3-70B-Instruct,opro_tree,train,baseline,0.6266,0.5257,0.3734
meta-llama/Llama-3.3-70B-Instruct,opro_tree,train,optimised,0.6566,0.5294,0.3434
meta-llama/Llama-3.3-70B-Instruct,opro_tree,val,baseline,0.7071,0.6111,0.2929
meta-llama/Llama-3.3-70B-Instruct,opro_tree,val,optimised,0.7273,0.6061,0.2727
